bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-010_T2w	1.058552852852853	0.791293891950068	0.6347	79.1239	5.615107733333333	5.367	5.97241856	5.50590464	0.27351248772233305	0.3320468939992618	0.39444061827840515	0.9800206422805786	0.47664254903793335	0.0	0.0012248498020446784	6.425269537258402	6.318269570995091	6.35891424588202	360	512	512	1.750408981926204	3.788368388169097	3.672075035493318	5.4774477363846525	8.999731571255408	7.269633919945412	7.249933015013311	5.480433553839113	0.5	0.48828125	0.48828125	15.4183	0.0	40.1088	0.0	27184316.0	0.0	345.0	121.9318	-1.121	1446.6502	1670.0796	1675.0	3943343.044356753	161.0	3227.0	956.9191	13.6408	192.0372	1356.5976	1353.0	4787257.871682687	804.0	1963.0	357.1458	55.7505	160.4609	1028.0226	1020.0	5686814.088280191	756.0	1322.0	186.2181	0.2014553657892548	0.46367730655909367	0.48339218228929465	0.28292872132787705
sub-016_T2w	1.154149211356467	0.7578806815312916	0.6206	182.4566	4.99431168	4.77984	5.43670272	4.76639232	0.2702155483966297	0.33350891130526095	0.39627554029810946	0.9873983263969421	0.38265613019466393	0.0	0.0009901915802909003	7.936273136668069	7.828249060684609	7.866412098270821	360	512	512	1.4243285423805574	3.8352561435909593	3.7882036843003557	6.10502636692955	8.41497606440255	7.75991804741313	7.386665616080127	5.985102736424701	0.5	0.48828125	0.48828125	18.1821	0.0	33.3974	0.0	36113382.0	0.0	327.0	117.014	-1.4288	1737.5609	1576.1704	1503.0	3166311.2176133366	101.0	3384.0	1055.2339	18.9617	212.6673	1391.3668	1386.0	3907965.375441105	837.0	1992.0	361.3839	67.8944	153.198	1076.6239	1069.0	4643447.410620357	820.0	1351.0	175.1016	0.20528617776941643	0.4665001839205736	0.4928747685489249	0.2754245878818733
sub-01_T2w	1.098787197231834	0.7607402791596658	0.6237	147.6316	5.305383146666666	5.11852	5.777428479999999	5.02020096	0.2693319095216438	0.33506749965273047	0.3956005908256257	0.9812836050987244	0.4397892653942108	0.0	0.0019921122172494375	7.787665872757694	7.678223720657352	7.717875970341978	360	512	512	1.2696336823986825	3.985526662644177	4.048844283931075	6.891372506750364	8.464465830951148	8.37609706015822	7.797492013299764	6.551913148789927	0.5	0.48828125	0.48828125	21.5385	0.0	29.081	0.0	28545305.0	0.0	297.0	103.7913	-1.5022	1693.9263	1424.2525	1341.0	3218703.7756749596	75.0	3340.0	1056.21	15.909	187.258	1326.9536	1327.0	4004289.830171585	817.0	1879.0	332.9547	105.3841	130.2915	1044.2775	1038.0	4727702.401142189	827.0	1279.0	150.6231	0.21315756568612793	0.484872821520778	0.5174816949460599	0.2814744762924487
sub-020_T2w	1.0741745562130178	0.7410000669549511	0.6031	763.6803	5.585440640000001	5.34632	6.02853376	5.381468160000001	0.2675894492881864	0.3245340156818717	0.40787653502994187	0.9635966420173645	0.586713644862175	0.0	0.0017641580451618949	8.547856981876437	8.450810089119004	8.503468791522112	360	512	512	1.793142463397957	3.3548631318988775	3.9184996203269606	6.607493265684049	10.427399781127694	8.00861337240884	8.162921915229818	6.052752592152924	0.5	0.48828125	0.48828125	16.3853	0.0	32.6596	0.0	36355417.0	0.0	335.0	113.2167	-1.1009	1447.9016	1755.3113	1802.0	2912049.6747455383	132.0	3321.0	1004.9395	8.913	217.68	1404.8188	1384.0	3531750.51304977	801.0	2137.0	412.5354	47.1572	145.391	1053.7856	1046.0	4438727.813558517	821.0	1310.0	158.3051	0.22320278534435267	0.46215821755856223	0.5053170359451522	0.28385826461080094
sub-023_T2w	1.0010949999999998	0.7955941925316162	0.5972	394.0922	6.17156576	6.48196	6.3532032	5.679534080000001	0.2624423592389239	0.3286519659534935	0.40890567480758255	0.9554004669189453	0.48120698928832994	0.0	0.0018717986792910412	7.794806124228074	7.700253408682229	7.75382508130024	360	512	512	1.8326399121769985	3.4796136679105567	3.8566991693736057	6.25784392803326	11.280256201986408	8.7350943426116	8.842172349640313	6.511166504322931	0.5	0.48828125	0.48828125	18.1147	0.0	31.0086	0.0	35889636.0	0.0	271.0	106.0507	-1.0318	1458.1648	1794.0748	1826.0	3126532.776022192	149.0	3369.0	996.3767	7.134	211.6839	1436.6404	1414.0	3915302.1884027026	829.0	2151.0	406.3669	63.2212	148.7103	1061.916	1054.0	4871382.037163785	815.0	1329.0	168.4286	0.2302875809813859	0.45473786560326435	0.49900406056707264	0.2880086584348757
sub-024_T2w	1.757961111111111	0.5399963653385578	0.5772	384.9543	5.31417712	4.9861	5.7124863999999995	5.243944959999999	0.2632045859080133	0.30929857903880237	0.42749683505318437	0.9685184955596924	0.3661118447780608	0.0	0.0012198862809493782	7.062597360686114	6.958860256504899	7.013674380811228	360	512	512	1.9441914101720486	2.80550017530326	3.7749150812406804	6.575053658246732	10.354878307862164	7.015647593036866	7.639260712417921	5.547256236354731	0.5	0.48828125	0.48828125	11.8819	0.0	43.5562	0.0	33800509.0	0.0	333.0	120.463	-0.7403	1142.5218	1798.8536	1904.0	3454369.36788279	144.0	3372.0	979.3273	3.4808	331.617	1322.164	1290.0	4059319.6097833803	646.0	2164.0	459.811	56.1869	143.0325	1025.0693	1020.0	5610586.026759659	796.0	1268.0	155.1318	0.21307654015895117	0.43255259612149527	0.47789685481280886	0.2836186382436788
sub-025_T2w	1.6674127329192545	0.53443633776917	0.5996	70.9687	5.272299146666667	5.00186	5.6940544	5.1209830400000005	0.2694115780107646	0.30183640981717585	0.4287520121720595	0.9279363751411438	0.3771114706993104	0.0	0.0018309246100351253	7.661428366528684	7.582200108451515	7.645385472713761	360	512	512	1.3841282257058314	2.371375795114243	3.490533329319817	6.716095967139375	7.863904383673685	7.105937696090679	6.793627347966201	5.411039964134236	0.5	0.48828125	0.48828125	14.3404	0.0	39.2269	0.0	36693978.0	0.0	351.0	124.4641	-1.6463	1887.4026	1604.1406	1494.0	3256478.234648927	84.0	3328.0	1079.3796	2.3111	395.7529	1412.4203	1350.0	3648409.271241243	552.0	2472.0	569.2897	66.9827	141.154	1034.0975	1028.0	5182485.496760856	810.0	1274.0	153.0651	0.21341170194080708	0.4196586706911927	0.4712837351569858	0.28935199097489406
sub-026_T2w	1.701530909090909	0.5853632957279177	0.6039	271.6067	5.198457066666667	5.08012	5.62454528	4.89070592	0.25530175944500033	0.327887044475998	0.41681119607900163	0.9686293601989746	0.3948330879211426	0.0	0.001185669268255501	6.578942627808663	6.454645562537363	6.4957086890211135	360	512	512	1.672943757017506	3.6819376301295708	4.137622462479496	7.057986000291409	10.334018158187313	8.412205383567436	8.551268941398765	6.907583282441552	0.5	0.48828125	0.48828125	27.5907	0.0	32.9044	0.0	35107672.0	0.0	255.0	95.7915	-1.3002	1467.4135	1525.3739	1511.0	3598295.249991644	121.0	3023.0	903.1982	7.639	245.3498	1242.9116	1230.0	4621332.799415957	752.0	1824.0	334.0632	62.8118	128.987	1014.4429	1010.0	5874654.958331815	802.0	1236.0	143.1003	0.2247752328339723	0.4497170626442799	0.48359276413318175	0.30801160308036096
sub-028_T2w	1.3191818518518519	0.6455044127475218	0.6199	62.3887	5.549840373333333	5.28222	6.07311872	5.2941823999999995	0.2672684405929052	0.32809744314062345	0.4046341162664713	0.9997490644454956	0.4354324519634247	0.0	0.002096702105671658	6.610698480092957	6.4877178343954425	6.529316604471298	360	512	512	1.7702554587991797	3.718790568590742	3.935792716480865	6.318332122052673	8.205182106437436	6.1608558738029675	6.424140312854377	4.906382958322725	0.5	0.48828125	0.48828125	14.6745	0.0	51.2234	0.0	28369835.0	0.0	398.0	141.0049	-1.1614	1434.3469	1711.8217	1766.0	3752277.321563919	123.0	3328.0	997.596	11.8113	206.7507	1325.9433	1326.0	4606277.465564519	786.0	1933.0	356.5675	62.7707	149.4284	1062.2723	1056.0	5680803.220273821	817.0	1322.0	167.1327	0.22447652653410047	0.48144762801972724	0.5169799870505711	0.2939741730645015
sub-029_T2w	1.1117424354243541	0.7453253100059678	0.6124	302.6374	5.324916	4.98774	5.8468352	5.1401728	0.27365678944732674	0.3265379101128849	0.39980530043978846	0.9777295887470245	0.40459273457527156	0.0	0.0020486668870158633	7.675466198932312	7.560318656775767	7.5973869993775205	360	512	512	2.0031084809157624	4.3170832504786425	4.419837105650335	6.9393195855566	10.42208956652261	7.309212155096859	7.850024190650803	5.81877085033294	0.5	0.48828125	0.48828125	10.3103	0.0	42.1526	0.0	28751626.0	0.0	369.0	119.1204	-0.7131	1027.0995	1775.8939	1895.0	3320443.117724512	152.0	3275.0	946.0295	21.3477	171.2029	1331.5229	1329.0	3962081.695470486	862.0	1843.0	307.8467	100.3828	130.0793	1064.7451	1058.0	4851079.196522542	846.0	1301.0	152.4645	0.20044958289965867	0.46794963657861105	0.5016357170945903	0.2905427442505326
