bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-009_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.0572	0.0405	0.0441	0.0084	0.3123	0.4503	0.0	0.0	331677.0938	79625.0547	2.1833	64	98.46153846153847	0.5713	2103.8125	481.5037	170.4399	4.47	7.73	7.73	1255.65	6783.8	6341.91	4117.53	136.5172	0.0	506.8735	0.0	932066.0	0.0	2062.0	1476.2723	0.269	5257.3075	11431.4211	10571.0	182046.0	0.0	26366.0	7372.6728	9.6868	2004.4782	10696.3561	10248.0	29187.0	7476.0	15340.0	2881.3236
sub-010_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.2024	0.0878	0.0958	0.0087	0.3485	0.4588	0.0	0.0	-1.0	260418.3281	13.8908	64	98.46153846153847	0.624	37.0651	11.2137	4.0383	6.77	7.92	7.92	1409.72	7497.88	6941.11	4608.62	175.4745	0.0	16.3083	0.0	901705.0	0.0	61.0	64.9752	8.9896	120.0908	400.3114	271.0	212407.0	130.0	1131.0	338.6843	57.7026	45.9607	253.3667	234.0	31214.0	161.0	361.0	130.8916
sub-015_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.0518	0.0281	0.0277	0.0041	0.2988	0.4363	0.0	0.0	228807.9062	4141.853	2.7914	64	98.46153846153847	0.8813	1912.5569	500.5277	22.411	6.44	29.27	29.27	1235.17	6412.61	5940.68	3876.2	139.5968	99.3343	545.5336	67.0	951309.0	0.0	2375.0	1579.9931	-0.5804	7854.8266	11980.4252	12697.0	162803.0	0.0	27699.0	8533.4981	3.2093	2919.2438	14549.959	14259.0	12548.0	8281.0	23083.0	4532.763
sub-016_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.4036	0.3155	0.3395	0.1214	0.324	0.4221	0.0	0.0	-1.0	818105.8125	18.1249	64	98.46153846153847	0.5069	45.9607	14.7164	0.0	6.94	7.19	7.19	1241.49	6511.6	6030.83	4064.94	239.5608	0.0	18.6438	0.0	939593.0	0.0	75.0	85.2677	14.4846	134.9168	457.7567	336.0	174519.0	122.0	1219.0	373.7649	80.7583	57.8215	325.1135	307.0	39344.0	225.0	447.0	119.957
sub-017_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.1986	0.1465	0.1612	0.0263	0.3134	0.4367	0.0	0.0	36034.1797	29038.377	5.0225	64	98.46153846153847	0.8065	42.2542	9.7362	0.455	5.76	4.88	4.88	1200.25	6566.39	6442.66	4234.9	432.35	1.4826	11.4269	1.0	919977.0	0.0	41.0	52.2668	5.2258	137.882	427.2567	261.0	194135.0	106.0	1242.0	381.2394	33.5446	44.4781	231.472	222.0	37287.0	149.0	329.0	75.042
sub-01_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.4178	0.2903	0.3184	0.0064	0.2998	0.4008	0.0	0.0	-1.0	4117328.5	27.4758	64	98.46153846153847	0.6839	50.4085	9.9639	0.7106	5.4	4.01	4.01	1152.89	6251.77	6138.65	4124.1	816.0118	0.0	10.246	0.0	932695.0	0.0	38.0	64.1282	35.3159	111.1952	359.6712	265.0	181417.0	65.0	969.0	323.2552	76.7966	47.4433	266.3983	248.0	43474.0	172.0	391.0	122.9504
sub-020_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.4125	0.2335	0.2126	0.0924	0.2943	0.3989	0.0	0.0	-1.0	893821.8125	41.5687	64	98.46153846153847	0.8442	42.9955	11.2088	0.5266	6.18	6.53	6.53	1069.48	6253.54	6059.11	3896.86	612.1143	0.0	11.9564	0.0	948829.0	0.0	51.0	63.4465	6.0299	137.882	456.1361	301.0	165283.0	132.0	1347.0	391.3015	51.6218	44.4781	266.559	258.0	28631.0	181.0	355.0	81.0882
sub-023_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3843	0.2496	0.2694	0.0294	0.3083	0.4144	0.0	0.0	-1.0	794032.0	34.2676	64	98.46153846153847	0.8253	35.5825	11.0795	0.5457	7.12	6.65	6.65	1159.88	6486.85	6241.16	4087.48	364.5918	0.0	13.2744	0.0	935242.0	0.0	52.0	65.5048	6.67	131.9516	445.65	292.0	178870.0	133.0	1314.0	385.5679	61.9965	42.9955	258.1615	248.0	35921.0	180.0	342.0	84.505
sub-024_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3689	0.1363	0.1366	0.0008	0.3354	0.4374	0.0	0.0	37470.7734	121968.9453	31.9661	64	98.46153846153847	0.498	37.0651	12.0307	0.5378	6.73	5.31	5.31	1386.22	7105.49	6419.68	4257.44	233.0177	1.4826	13.3519	1.0	919962.0	0.0	55.0	51.347	6.5561	146.7776	457.456	315.0	194150.0	145.0	1206.0	359.1526	63.5468	44.4781	277.3291	265.0	30739.0	200.0	380.0	87.6195
sub-025_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3817	0.162	0.1759	0.0038	0.3112	0.4228	0.0	0.0	42830.8125	57277.1211	35.0248	64	98.46153846153847	0.6029	40.0303	10.359	0.4432	6.92	6.06	6.06	1245.79	6569.92	6032.59	4037.71	562.6415	1.4826	10.4883	1.0	929051.0	0.0	43.0	51.2673	4.5191	139.3646	410.5537	277.0	185061.0	70.0	1180.0	350.5975	43.0987	44.4781	262.8968	249.0	22812.0	181.0	362.0	95.8854
