bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-009_run-01_T1w	0.6140181818181818	1.8202740962796973	0.7369	-1.0	6.755851144753978	6.77576	6.910879680788837	6.580913753473099	0.28647682027484966	0.37382468751586034	0.33969849220929005	0.8446944355964661	0.3481062650680542	0.0	0.0019345199605824153	7.355754282453594	7.282740181204918	7.377311745100172	340	512	512	1.4196997865091454	3.8686302872948777	4.295386812402023	7.5978303634020445	7.695302829343734	18.43666302863603	18.61835767877331	29.723107178340175	0.5	0.49986979365348816	0.49986979365348816	1080.811	0.0	2.9768	0.0	23122728.0	0.0	15.0	20.4323	-0.696	151.7609	264.003	240.0	3425578.091924522	34.0	567.0	169.0498	-0.5731	110.5806	574.5633	575.0	4470049.823040726	328.0	821.0	148.6314	0.2312	105.5538	907.5487	927.0	4061982.0886573037	681.0	1075.0	122.0085	0.19562212538177426	0.5054150805704746	0.5318784807146862	0.5034116340647077
sub-009_run-02_T1w	0.6103991329479769	1.8071547954892868	0.7436	-1.0	6.661698598275336	6.63784	6.834279733190197	6.512976061635809	0.29105394503456117	0.3707917030569711	0.3381543519084677	0.8434736430644989	0.3589936822652816	0.0	0.0013952928844073965	7.2834591260733035	7.209463261691032	7.301352941837022	340	512	512	1.4294906038353534	3.9496426296269114	4.336138856877828	7.629283337171221	9.972696618514853	23.844184096119875	23.953623839532934	38.04399080396407	0.5	0.49986979365348816	0.49986979365348816	1524.8099	0.0	1.8184	0.0	22475556.0	0.0	7.0	15.9634	-0.6295	153.7656	267.0418	243.0	3515659.2307632733	35.0	571.0	169.9906	-0.5408	107.4348	581.7068	581.0	4478816.713471731	338.0	829.0	147.1019	0.3223	103.7633	907.7558	927.0	4084588.0600196254	682.0	1075.0	121.5055	0.18783162035574205	0.4986152836976663	0.526203966793735	0.5242411758381791
sub-010_T1w	0.5203267195767195	2.1646158734022563	0.7726	442.5305	7.518831042101559	7.60666	7.782846752082101	7.166986374222575	0.27989615481982705	0.37974960118049855	0.34035424399967457	0.7702905535697937	0.32934424877166735	0.0	0.0013816880449129467	6.322525171668545	6.2733280938085505	6.361168888653021	340	512	512	1.2871342113946764	4.201376438737575	5.137904504255626	9.925202862634627	3.398319207467785	8.43770709204608	8.587775319156483	13.927299657955581	0.5	0.49986979365348816	0.49986979365348816	154.2159	0.0	4.5566	0.0	22399208.0	0.0	0.0	45.1111	-0.8869	171.636	258.9832	234.0	3890168.8981186245	16.0	577.0	181.7992	-0.7261	113.2173	584.1244	581.0	5277993.5063283695	363.0	811.0	138.288	-0.3863	83.4662	941.9509	959.0	4730452.6037612455	756.0	1073.0	96.6227	0.17565037675829062	0.4827168312807264	0.4994875296159027	0.5819099285639003
sub-015_T1w	0.9500364705882353	0.9171024526711684	0.7266	4433.3905	6.794454904559733	7.00186	6.888013726204025	6.493490987475173	0.2864413240275799	0.3403990709996568	0.37315960497276324	0.9235889911651611	0.5729776084423065	0.0	0.0016980233386678283	8.241440279554471	8.098140031698058	8.201707713135303	340	512	512	1.2074252410860526	2.5463532245840357	3.204299228638759	5.85911922024619	28.004620788385925	79.52255525758643	73.57817820344792	113.2073585643714	0.5	0.49986979365348816	0.49986979365348816	144.0417	0.0	0.7678	0.0	24627039.0	0.0	0.0	4.9595	-0.4861	154.6787	248.0596	212.0	3056070.8438428496	21.0	580.0	175.5802	4.8568	99.3474	579.6903	602.0	3631751.3881240124	125.0	966.0	236.4165	-0.65	142.9119	853.1811	857.0	3981276.7683875593	614.0	1078.0	146.2677	0.17555553898198034	0.4642640457855112	0.4773538406631259	0.3407542700456035
sub-016_T1w	0.510130352303523	2.3910843749520256	0.7502	12538.6353	7.36449199075943	7.51672	7.594177620245389	6.982578352032902	0.2850176268624288	0.37415645516063867	0.3408259179769325	0.7012063562870026	0.2771345376968384	0.0	0.0017201465256069183	7.722855501069676	7.687774965240819	7.775018161819826	340	512	512	1.5080268124558893	4.480249596546536	6.298760432976032	12.90800488992567	32.08783018254111	71.39838228808964	72.85871404301463	115.08992965841315	0.5	0.49986979365348816	0.49986979365348816	6282.906	0.0	0.4509	0.0	30751254.0	0.0	0.0	5.533	-0.8194	166.0393	284.4231	271.0	3251926.285479873	29.0	592.0	179.705	-0.7411	119.8565	607.7036	603.0	4268961.273774616	394.0	826.0	134.5907	-0.063	68.3816	961.8922	972.0	3888674.443201941	820.0	1069.0	75.3021	0.16979733057626917	0.4663627270330035	0.5036295406958539	0.5844797209958891
sub-017_run-01_T1w	0.5811153005464481	1.9459316038982366	0.7303	-1.0	8.193876206670618	8.34348	8.44603945588009	7.792109164131766	0.2887887741275334	0.37414271891302786	0.33706850695943874	0.8287656307220459	0.32749855518341064	0.0	0.001661090626092322	7.080679434471358	7.0103849810715655	7.066813015524017	340	512	512	1.0483270290541884	3.891126263668824	4.3856458987600675	8.21748440355719	6.562227146289466	25.583817996006903	24.65269117119556	41.81202837129031	0.5	0.49986979365348816	0.49986979365348816	1992.0932	0.0	1.4846	0.0	21523812.0	0.0	7.0	14.7755	-0.7459	134.6109	181.5502	148.0	3606043.334350406	15.0	453.0	141.1773	-0.7487	115.9686	577.3658	577.0	4671839.6922044	336.0	824.0	148.2861	-0.6104	96.7196	917.3962	943.0	4208901.97831496	695.0	1067.0	114.7553	0.1556153376078084	0.4649596942419061	0.5215637131904302	0.5458254424388566
sub-017_run-02_T1w	0.5709335135135135	1.9099140528946874	0.736	-1.0	8.163039311801986	8.3688	8.353915465623695	7.766402469782262	0.29540952629218686	0.37072523180676775	0.33386524190104544	0.807229220867157	0.2830151915550232	0.0	0.0009961422183060477	6.923160546392597	6.852975451218351	6.91645168219117	340	512	512	0.9998218990060217	3.784646592476176	4.300091999544921	8.115807507152562	3.110838659436461	11.904142603443526	11.53084196431115	19.577544630053463	0.5	0.49986979365348816	0.49986979365348816	1091.6231	0.0	1.9662	0.0	22457544.0	0.0	7.0	31.5897	-0.7043	145.4882	186.7383	150.0	3768012.612386188	15.0	475.0	150.0267	-0.6893	114.4785	573.1774	574.0	4728680.779901579	324.0	825.0	151.6654	-0.5605	96.7669	916.5393	944.0	4258523.609953662	690.0	1064.0	116.3162	0.15791894828666564	0.4645126408507951	0.5193394567526651	0.5492888164876898
sub-01_run-01_T1w	0.49744130434782613	2.4147744446610955	0.7607	11330.2798	7.207399592191673	7.41868	7.405768556133612	6.797750220441408	0.2807472063531544	0.3796664281858808	0.3395863654609649	0.6761673092842102	0.2604963183403015	0.0	0.0014638513122573105	7.533529153966709	7.4984910234864515	7.583783453062939	340	512	512	1.5527550510343702	4.593866745752372	6.3061492293367465	12.771825891223495	68.11861563071298	151.20835557586835	154.11940752589885	243.0312513711152	0.5	0.49986979365348816	0.49986979365348816	157.0033	0.0	0.332	0.0	24367192.0	0.0	0.0	2.6256	-0.8984	159.0377	286.9727	273.0	3283632.8022125713	33.0	591.0	175.8165	-0.7051	117.0679	609.3613	606.0	4440596.769186816	395.0	820.0	131.915	0.5544	65.9905	962.123	974.0	3971818.431593244	816.0	1066.0	76.2616	0.18366953013310852	0.48090405455054686	0.5121663726534931	0.567451162823284
sub-01_run-02_T1w	0.5088141304347826	2.3655273927238776	0.7573	8373.1471	7.326503535663325	7.57696	7.49875277040326	6.903797836586716	0.28269868927803965	0.3790460744168598	0.33825523630510046	0.662533700466156	0.24142206907272334	0.0	0.0009375964020557233	7.517756726912966	7.480712044707373	7.566932870087564	340	512	512	1.593153882577345	4.4969346538288955	6.163536169541309	12.400519972217685	43.011610137581464	95.5110754525706	97.40864648805216	153.70325387400436	0.5	0.49986979365348816	0.49986979365348816	9702.7397	0.0	0.4373	0.0	27257575.0	0.0	0.0	4.143	-0.8835	154.449	285.2677	272.0	3312982.408015594	38.0	582.0	170.7305	-0.7533	119.1137	605.8987	604.0	4442089.843350314	386.0	819.0	134.3137	0.2039	68.1299	959.2223	972.0	3964056.749466534	809.0	1065.0	78.3838	0.18291631099281835	0.48315275023709964	0.5144373801812522	0.5841460079852474
sub-020_run-01_T1w	0.5173785529715763	2.280286127764844	0.7408	-1.0	7.754526295841129	8.13802	7.825037739150664	7.300521148372724	0.2955757239777744	0.3744219953291362	0.3300022806930894	0.7299509942531586	0.24081766605377197	0.0	0.001535249548907802	8.393333856484622	8.348925751006183	8.42804057327974	340	512	512	1.342354732462038	4.045844005742219	5.328246979860947	10.596542201378586	40.247034170370576	107.3872478555049	108.93283288508901	179.1642166293916	0.5	0.49986979365348816	0.49986979365348816	122.6451	0.0	0.5012	0.0	31027947.0	0.0	0.0	3.5323	-0.7939	158.0658	235.4466	217.0	3109045.768621275	22.0	527.0	161.6562	-0.7405	122.8138	580.184	579.0	3938398.947622367	347.0	807.0	143.1098	0.0246	77.4117	947.6869	966.0	3471165.292659044	771.0	1067.0	91.1618	0.16988531810899282	0.47134081867302163	0.5151284672614781	0.5640226105317528
sub-020_run-02_T1w	0.5668123287671233	2.1284519480475788	0.7331	-1.0	8.159889972808632	8.54374	8.089806688345753	7.846123230080141	0.2956346902766123	0.37000469517906903	0.3343606145443186	0.7365634441375732	0.2587832748889922	0.0	0.0007594476977562351	8.440522786735267	8.389028053964424	8.471679268227405	340	512	512	1.5518981857010619	4.11699134689795	5.344641062514305	10.365033654943904	29.389518852161274	70.67762833272792	71.39154377043225	114.10748412640756	0.5	0.49986979365348816	0.49986979365348816	77.4023	0.0	1.0071	0.0	28406261.0	0.0	6.0	5.506	-0.7279	152.1945	261.6951	247.0	3091083.006512587	36.0	543.0	159.1599	-0.8831	124.5888	594.0238	594.0	3868677.3346110573	360.0	823.0	144.2801	-0.2336	82.2977	941.2469	959.0	3495991.6669387287	766.0	1065.0	92.5226	0.17030112600576597	0.47999536624183436	0.5223910820382355	0.5653247946259835
